candidate_phrase,normalized_phrase,query,occurrence_count,source_count,evidence_id,source_id,source_title,author,page_number,heading,matched_raw_terms,matched_registered_terms,proximity_reason,first_seen_at,status
account of original sin,account of original sin,original sin,1,1,AQUINAS_SUMMA_EVID_05941_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,5941,Article. 2 - Whether contrition should be on account of original sin?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
account of original sin supplement,account of original sin supplement,original sin,1,1,AQUINAS_SUMMA_EVID_05941_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,5941,Article. 2 - Whether contrition should be on account of original sin?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
actual sin,actual sin,original sin,1,1,AQUINAS_SUMMA_EVID_04733_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,4733,"Article. 4 - Whether God became incarnate in order to take away actual sin, rather than to take away original sin?",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
actual sin rather,actual sin rather,original sin,1,1,AQUINAS_SUMMA_EVID_04733_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,4733,"Article. 4 - Whether God became incarnate in order to take away actual sin, rather than to take away original sin?",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
actual sin rather than,actual sin rather than,original sin,1,1,AQUINAS_SUMMA_EVID_04733_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,4733,"Article. 4 - Whether God became incarnate in order to take away actual sin, rather than to take away original sin?",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
anyone with original sin,anyone with original sin,original sin,1,1,AQUINAS_SUMMA_EVID_02410_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2410,Article. 6 - Whether venial sin can be in anyone with original sin alone?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
anyone with original sin alone,anyone with original sin alone,original sin,1,1,AQUINAS_SUMMA_EVID_02410_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2410,Article. 6 - Whether venial sin can be in anyone with original sin alone?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
are many original sins,are many original sins,original sin,1,1,AQUINAS_NATURE_GRACE_EVID_00130_BODY_01,AQUINAS_NATURE_GRACE,Nature and Grace: Selections from the Summa Theologica of Thomas Aquinas,Thomas Aquinas,130,Art. 2: Whether there are Many Original Sins in One Man,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
are many original sins in,are many original sins in,original sin,1,1,AQUINAS_NATURE_GRACE_EVID_00130_BODY_01,AQUINAS_NATURE_GRACE,Nature and Grace: Selections from the Summa Theologica of Thomas Aquinas,Thomas Aquinas,130,Art. 2: Whether there are Many Original Sins in One Man,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
are several original sins,are several original sins,original sin,1,1,AQUINAS_SUMMA_EVID_02331_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2331,Article. 2 - Whether there are several original sins in one man?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
are several original sins in,are several original sins in,original sin,1,1,AQUINAS_SUMMA_EVID_02331_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2331,Article. 2 - Whether there are several original sins in one man?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
away actual sin,away actual sin,original sin,1,1,AQUINAS_SUMMA_EVID_04733_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,4733,"Article. 4 - Whether God became incarnate in order to take away actual sin, rather than to take away original sin?",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
